d,h,hdo,den,num,dhdo
18.1,10.2,14.1,556,0.6,255.21
18.8,11.4,17.3,1122,0.3,325.24
10.4,5,14,2333,0.3,145.6
14.5,10.3,14,2333,1,203
14,13.6,14.8,1967,0.5,207.2
29.4,22.4,22.4,867,1,658.56
11.7,8.8,14,2333,0.1,163.8
25.7,16,17.7,889,0.2,454.89
13.7,10.3,13.2,2122,0.2,180.84
23,13.7,15.1,589,0.1,347.3
19.1,13.6,15.1,589,0.8,288.41
11.3,6.6,7.1,1044,0,80.23
18.6,13.2,16.1,1656,0.2,299.46
2.7,2,6.8,767,0.9,18.36
17.7,8.5,15.7,422,0.4,277.89
20.5,15.1,17.3,1122,0,354.65
14.3,11.2,13.2,2122,0.7,188.76
17.2,12.6,15.1,1067,0.8,259.72
8.6,7,14.8,1022,0.3,127.28
21.5,14.4,16.1,689,0.4,346.15
11.2,9.8,16.1,1656,0.5,180.32
17.3,16.9,17.7,2278,1,306.21
24,16.8,21.5,1667,0.4,516
5.4,4.7,6.8,767,0.4,36.72
19.4,14.5,16.6,1656,0.4,322.04
3.3,3.2,4.9,689,0.3,16.17
4.9,4.1,6.9,1356,0.1,33.81
6,5.4,17.7,2278,0.3,106.2
15.6,10.8,13.9,767,0.4,216.84
9.3,5.9,6.1,722,0.6,56.73
19.2,16.7,21.5,1667,0.2,412.8
15,10.6,15.1,1656,0.8,226.5
6,4.6,6,600,0.9,36
16.1,11.8,16.1,1656,0.3,259.21
4.8,4.5,6,600,0.4,28.8
4.8,4.4,5.4,1133,0.1,25.92
4.7,4.7,6,1322,0.1,28.2
16.7,11.6,14.4,1689,0.6,240.48
16.7,14.2,15.1,1411,0.8,252.17
21.6,18,20.3,1011,0.3,438.48
15.9,10.4,15.1,1067,0.6,240.09
17.7,18.8,16.2,1156,0.4,286.74
17.7,17.1,20.3,1011,0,359.31
