d,h,hdo,den,num,dhdo,loghdo
5.4,6,16.2,1478,0.664100264,87.48,
13.6,10.7,20.3,800,0.667543866,276.08,
5,4.8,14.6,789,0.901060212,73,
23.2,14.9,18.1,556,0.881867131,419.92,
28.1,12.3,20.1,733,0.026359967,564.81,
4.8,4.6,11.8,1600,0.633244465,56.64,
3.6,1.9,16.2,1478,0.444792799,58.32,
8.1,5.6,17.7,644,0.788411226,143.37,
15.9,13.5,17.1,1411,0.062812433,271.89,
14.2,17.1,20.5,722,0.581223942,291.1,
8,10.7,15,1956,0.949939153,120,
18.6,10.5,15.7,1022,0.818265509,292.02,
8.1,7.6,17.7,644,0.957883006,143.37,
14.3,9.7,18.7,844,0.43686814,267.41,
27.7,15.3,15.7,656,0.702615068,434.89,
15,11.2,17.1,1411,0.474952482,256.5,
21.6,16,16.7,1067,0.899300729,360.72,
8.3,7,16.4,1844,0.001561353,136.12,
12.8,9.2,15.4,1033,0.7657892,197.12,
22.5,14.4,17.1,1411,0.036105075,384.75,
15.2,13.9,17.2,1778,0.262381102,261.44,
6,7.4,17.2,1778,0.362185614,103.2,
18.3,10.7,16.7,1067,0.278008853,305.61,
4.1,3.6,11.8,1600,0.60289661,48.38,
5.1,2.8,15.4,967,0.053181297,78.54,
3.5,4.6,11.8,1600,0.014903993,41.3,
12.4,12.4,21,922,0.70448345,260.4,
6.8,3.2,22.8,956,0.332947557,155.04,
19.2,14.2,20.3,800,0.641841531,389.76,
6,9.2,16.6,1656,0.477503527,99.6,
32.9,10.5,14.6,789,0.388399633,480.34,
29.6,11.6,19.6,789,0.27339599,580.16,
20.4,14,16.6,1467,0.771060032,338.64,
25.5,12.5,17.1,1411,0.05006824,436.05,
17.6,15.3,14.9,1222,0.882245789,262.24,
12.1,9.2,15,1956,0.217048219,181.5,
10.1,10.7,14.1,2200,0.014549761,142.41,
25.4,13,16.7,1067,0.623622385,424.18,
25.9,11.3,19.6,789,0.178086905,507.64,
13.1,13.3,21,922,0.286225488,275.1,
5.3,5.2,11.8,1600,0.400175251,62.54,
17.5,16.4,20.5,722,0.007992358,358.75,
11.2,9.8,15.7,656,0.89812846,175.84,
37.1,11.2,18.1,556,0.048709518,671.51,
7.2,3.2,22.8,956,0.667033406,164.16,
6.4,9.9,15,1956,0.768808841,96,
14.4,11.2,16.4,1844,0.808140783,236.16,
17,13.8,20.1,733,0.736500316,341.7,
34.6,12,15,1956,0.907139378,519,
23.4,11.4,16.7,1067,0.558885288,390.78,
5,5.8,11.8,1600,0.078765063,59,
4.4,4,9.7,1644,0.757358841,42.68,
26.3,13,16.5,589,0.626351015,433.95,
7.2,7.4,17.2,1778,0.417533846,123.84,
