d,h,hdo,den,,,,,
5.1,8.9,14,2333,,,,,
5.1,8.5,13.2,2122,,,,,
5.1,6.9,14.8,1022,,,,,
5.1,6.6,6.2,1311,,,,,
5.1,5.8,7.2,1733,,,,,
5.1,5.6,17.7,2278,,,,,
5.1,5.6,14.8,1967,,,,,
5.1,5.5,15.8,1522,,,,,
5.1,5.2,10.4,500,,,,,
5.1,5.2,21.2,967,,,,,
5.1,5,16.6,1467,,,,,
5.1,4.9,15.8,1522,,,,,
5.1,4.8,6.4,911,,,,,
5.1,4.7,6.9,1356,,,,,
5.1,4.5,4.9,689,,,,,
5.1,4.4,6,1322,,,,,
5.1,4.2,6,1322,,,,,
5.1,4,6,1322,,,,,
5.1,4,4.9,689,,,,,
5.1,4,9.7,1644,,,,,
5.1,3.8,7.1,1044,,,,,
5.1,3.6,5.4,1133,,,,,
5.1,3.6,7.8,989,,,,,
5.1,3.5,6,1322,,,,,
5.1,3.4,6.8,767,,,,,
5.1,3.1,4.9,689,,,,,
5.1,3.1,4.9,689,,,,,
5.1,3,6.1,722,,,,,
5.1,2.8,7.1,1044,,,,,
5.1,2.2,10.1,1522,,,,,
5.1,2.1,7.8,989,,,,,
5.2,6.7,14.8,1022,,,,,
5.2,5.3,7.1,1044,,,,,
5.2,5.1,6.1,722,,,,,
5.2,4.9,7.2,1733,,,,,
5.2,4.8,4.9,689,,,,,
5.2,4.7,6.9,1356,,,,,
5.2,4.7,7.2,1733,,,,,
5.2,4.6,7.2,1733,,,,,
5.2,4.5,6,600,,,,,
5.2,4.5,5.4,1133,,,,,
5.2,4.2,6.4,911,,,,,
5.2,3.5,9.7,1644,,,,,
5.3,8.4,13.2,2122,,,,,
5.3,6.5,16.3,1556,,,,,
5.3,6.4,10.1,1522,,,,,
5.3,6,14,2333,,,,,
5.3,5.7,7.2,1733,,,,,
5.3,5.6,10.1,1522,,,,,
5.3,5.5,13.2,2122,,,,,
5.3,5,7.1,1044,,,,,
5.3,4.7,7.1,1044,,,,,
5.3,4.6,10.4,500,,,,,
5.3,4.4,4.9,689,,,,,
5.3,4.3,6.4,911,,,,,
5.3,4.2,15.1,1411,,,,,
