"CW","CLR","SD","D","PLOT"
2.5375,0.7,1955.555556,10.8,21
1.6585,0.65,1955.555556,5.9,21
1.096,0.57,1955.555556,4.3,21
2.4495,0.16,1955.555556,7.2,21
2.5475,0.6,1955.555556,16.3,21
2.613,0.52,1955.555556,2.7,21
2.4125,0.41,1955.555556,16.6,21
1.4285,0.44,1955.555556,2.8,21
1.889,0.38,1955.555556,8.6,21
2.5545,0.46,1955.555556,10.2,21
2.6555,0.31,1955.555556,6.1,21
2.6725,0.41,1955.555556,11.1,21
2.518,0.18,1955.555556,10.3,21
2.3375,0.46,1955.555556,9.4,21
2.4655,0.27,1955.555556,6.6,21
2.7505,0.38,1955.555556,11,21
2.25,0.46,1955.555556,6.1,21
1.8095,0.56,1955.555556,4.8,21
3.13,0.48,1955.555556,14.1,21
2.129,0.72,1955.555556,3,21
2.523,0.65,1955.555556,9.6,21
2.3295,0.67,1955.555556,3.5,21
2.585,0.3,1955.555556,5,21
2.465,0.49,1955.555556,10.3,21
2.285,0.67,1955.555556,15.9,21
2.47,0.64,1955.555556,25.1,21
4.945,0.62,1955.555556,24.8,21
5.42,0.75,1955.555556,33.8,21
3.405,0.81,1955.555556,12.6,21
3.725,0.75,1955.555556,5.8,21
2.245,0.77,1955.555556,14.8,21
4.575,0.81,1955.555556,14.2,21
2.88,0.36,1955.555556,22,21
2.92,0.63,1955.555556,4.3,21
2.425,0.71,1955.555556,4.5,21
1.675,0.65,1955.555556,4.8,21
2.335,0.79,1955.555556,17.4,21
3.21,0.78,1955.555556,15.8,21
1.695,0.6,1955.555556,19.8,21
1.61,0.47,1955.555556,16.8,21
1.32,0.54,1955.555556,6,21
1.615,0.55,1955.555556,5.2,21
2.77,0.66,1955.555556,4.5,21
0.795,0.33,1955.555556,8,21
2.35,0.66,1955.555556,18,21
2.545,0.45,1955.555556,9,21
1.86,0.73,1955.555556,9.5,21
1.535,0.8,1955.555556,5.9,21
2.615,0.62,1955.555556,9.8,21
2.26,0.77,1955.555556,6.7,21
2.48,0.36,1955.555556,5.9,21
2.57,0.69,1955.555556,4.2,21
2.745,0.44,1955.555556,6.5,21
2.595,0.37,1955.555556,3.1,21
2.775,0.64,1955.555556,11,21
3.435,0.68,1955.555556,6.5,21
3.68,0.81,1955.555556,34.6,21
2.5,0.63,1955.555556,16.5,21
1.78,0.45,1955.555556,4.9,21
2.26,0.74,1955.555556,15.9,21
2.98,0.46,1955.555556,13.6,21
2.595,0.79,1955.555556,11.1,21
1.64,0.57,1955.555556,13.7,21
2.58,0.77,1955.555556,5.1,21
3.595,0.73,1955.555556,11.4,21
3.655,0.72,1955.555556,16.6,21
2.1,0.57,1955.555556,10.4,21
2.295,0.07,1955.555556,3.1,21
1.34,0.42,1955.555556,8.1,21
3.065,0.37,1955.555556,8.1,21
2.13,0.35,1955.555556,9.8,21
1.71,0.69,1955.555556,10.5,21
1.37,0.18,1955.555556,4.7,21
2.585,0.76,1955.555556,16.5,21
1.085,0.45,1955.555556,6.4,21
2.22,0.38,1955.555556,11,21
2.68,0.41,1955.555556,11.1,21
2.08,0.44,1955.555556,11.4,21
1.985,0.45,1955.555556,6.8,21
2.13,0.54,1955.555556,14,21
2.41,0.8,1955.555556,10.4,21
3.29,0.67,1955.555556,6.7,21
2.25,0.78,1955.555556,8.2,21
1.595,0.38,1955.555556,4.3,21
