"CW","D","SD","CLR","plot"
2.3,3.7,1477,0.66,"22"
1.73,2.6,1477,0.78,"22"
2.095,6.1,1477,0.56,"22"
4.865,15.8,1477,0.81,"22"
4.865,14.9,1477,0.8,"22"
3.01,5,1477,0.5,"22"
2.595,2.9,1477,0.32,"22"
5.75,18.4,1477,0.79,"22"
1.945,17.6,1766,0.5,"26"
1.855,13.6,1766,0.32,"26"
2.225,10.5,1766,0.44,"26"
2.325,15.3,1766,0.35,"26"
1.56,8.4,1766,0.36,"26"
2.595,16.3,1766,0.37,"26"
1.545,5.9,1766,0.31,"26"
2.025,11.2,1766,0.34,"26"
1.615,6.5,1766,0.55,"26"
1.375,8.1,1766,0.24,"26"
1.22,6.4,1766,0.18,"26"
2.115,8.5,1766,0.48,"26"
2.355,14.1,1766,0.51,"26"
2.575,10,1766,0.48,"26"
2.665,5.2,1766,0.24,"26"
2.46,13.4,1766,0.34,"26"
2.575,14.4,1766,0.44,"26"
2.665,12.1,1766,0.39,"26"
2.06,11.1,1766,0.58,"26"
2.065,16.1,1766,0.3,"26"
2.195,4.3,1766,0.33,"26"
2.96,6.1,1766,0.48,"26"
2.915,15.6,1766,0.29,"26"
3.83,19.1,1766,0.37,"26"
3.14,15.6,1766,0.28,"26"
1.855,5.3,1766,0.63,"26"
2.635,6.2,1766,0.56,"26"
2.735,20.1,1766,0.36,"26"
2.175,17,1766,0.52,"26"
2.585,8.6,1766,0.64,"26"
2.865,15.6,1766,0.52,"26"
2.82,18.6,1766,0.57,"26"
2.75,20.2,1766,0.36,"26"
2.265,12.2,1766,0.68,"26"
3.76,7,1766,0.64,"26"
2.965,11.6,1766,0.52,"26"
3.665,20.7,1766,0.61,"26"
3.55,21.1,1766,0.6,"26"
4.495,12.8,1766,0.61,"26"
3.655,10.6,1766,0.6,"26"
4.24,22.6,1766,0.42,"26"
3.11,5.4,1766,0.73,"26"
2.785,12.8,1766,0.42,"26"
2.74,15.4,1766,0.39,"26"
3.7,11,1766,0.76,"26"
2.935,5.6,1766,0.53,"26"
2.175,10.9,1766,0.5,"26"
2.655,10.8,1766,0.45,"26"
2.98,12.4,1766,0.38,"26"
3.605,12.3,1766,0.33,"26"
1.93,9.5,1766,0.2,"26"
1.875,10.9,1766,0.22,"26"
3.99,12.9,1766,0.33,"26"
3.915,10.7,1766,0.19,"26"
4.61,14.2,1766,0.07,"26"
5.62,20.7,1766,0.46,"26"
4.53,21.8,1766,0.7,"26"
5.01,12.5,1766,0.72,"26"
3.8,13.5,1766,0.63,"26"
2.17,3.6,1766,0.39,"26"
3.74,14.4,1766,0.62,"26"
3.985,14.1,1766,0.57,"26"
4.03,13.4,1766,0.48,"26"
3.785,15.2,1766,0.41,"26"
4.71,14.5,1766,0.69,"26"
3.665,17.3,1766,0.61,"26"
3.195,7.8,1766,0.62,"26"
2.87,12.2,1766,0.39,"26"
3.715,14.2,1766,0.45,"26"
3.49,14.2,1766,0.58,"26"
3.975,11,1766,0.28,"26"
3.61,12.2,1766,0.28,"26"
4.155,15.3,1766,0.69,"26"
4.185,8.8,1766,0.6,"26"
3.5,10.2,1766,0.34,"26"
2.2,6.5,1766,0.51,"26"
2.97,12,1766,0.72,"26"
3.45,20.8,1766,0.42,"26"
3.79,19.5,1766,0.58,"26"
3.545,8.2,1766,0.43,"26"
2.67,10,1766,0.66,"26"
3.2,9,1766,0.57,"26"
4.065,12.4,1766,0.36,"26"
4.31,22.5,1766,0.5,"26"
3.67,9.7,1766,0.36,"26"
5.695,19.2,1766,0.77,"26"
5.37,16.3,1766,0.66,"26"
2.745,3.6,1766,0.6,"26"
2.745,13.4,1766,0.37,"26"
2.29,7.1,1766,0.45,"26"
2.53,11.8,1766,0.3,"26"
1.725,11.2,1766,0.48,"26"
2.955,13.7,1766,0.37,"26"
2.525,5.9,1766,0.27,"26"
2.69,17.2,1766,0.46,"26"
2.955,8.9,1766,0.45,"26"
2.725,11.6,1766,0.39,"26"
1.96,12.7,1766,0.26,"26"
2.1,6.9,1766,0.18,"26"
1.995,13.6,1766,0.31,"26"
2.56,12.8,1766,0.24,"26"
2.535,14.2,1766,0.25,"26"
2.855,6.5,1766,0.37,"26"
2.58,13.9,1766,0.26,"26"
2.095,13.2,1766,0.24,"26"
2.195,17.7,1766,0.24,"26"
1.975,11.5,1766,0.32,"26"
3.425,16.3,1766,0.17,"26"
3.11,13.1,1766,0.28,"26"
2.32,13.6,1766,0.32,"26"
2.33,3.5,1766,0.43,"26"
2.475,12.2,1766,0.41,"26"
1.42,11.6,1766,0.23,"26"
1.955,7.5,1766,0.28,"26"
3.28,15.6,1766,0.43,"26"
2.47,13.1,1766,0.33,"26"
2.695,15.7,1766,0.45,"26"
3.985,20.9,1766,0.28,"26"
2.91,17.6,1766,0.39,"26"
3.96,15.4,1766,0.4,"26"
2.48,12.1,1766,0.42,"26"
3.44,9.9,1766,0.34,"26"
3.535,9.7,1766,0.39,"26"
4.705,20.2,1766,0.46,"26"
2.52,5.1,1766,0.53,"26"
2.36,10.6,1766,0.45,"26"
2.315,11.9,1766,0.36,"26"
2.96,10.8,1766,0.29,"26"
2.825,14.3,1766,0.37,"26"
2.63,9.4,1766,0.19,"26"
2.765,15.2,1766,0.43,"26"
3.335,15,1766,0.39,"26"
4.21,17.6,1766,0.41,"26"
2.65,8.5,1766,0.2,"26"
1.37,3.5,1766,0.59,"26"
2.325,9.1,1766,0.45,"26"
3.39,13.4,1766,0.36,"26"
2.87,7.6,1766,0.59,"26"
3.165,5.7,1766,0.52,"26"
1.905,3.5,1766,0.5,"26"
3.805,14.8,1766,0.53,"26"
2.055,4,1766,0.56,"26"
3.035,9.6,1766,0.59,"26"
3.95,18.8,1766,0.62,"26"
3.095,5.9,1766,0.75,"26"
2.31,15.6,1766,0.51,"26"
2.3205,10.1,1077,0.5,"27"
3.0185,10.7,1077,0.42,"27"
2.9175,11.2,1077,0.59,"27"
3.482,13.5,1077,0.48,"27"
4.173,16.9,1077,0.54,"27"
3.459,16.1,1077,0.43,"27"
2.585,7,1077,0.21,"27"
2.7165,11.7,1077,0.58,"27"
3.364,14.4,1077,0.44,"27"
3.9825,15.4,1077,0.66,"27"
2.626,9.8,1077,0.59,"27"
4.3205,22.4,1077,0.7,"27"
