d,h,hdo,den,dhdo,num
16.2,11.5,14.8,1022,239.76,
12.9,12.5,16.2,1678,208.98,
17,13.1,13.1,811,222.7,
15.2,12.8,15.8,1522,240.16,
11.6,11.5,16.2,1156,187.92,
17.3,14.1,17.7,2278,306.21,
14.9,11.8,14.4,1689,214.56,
8.1,8.8,13.2,2122,106.92,
12.6,12.3,14.8,1967,186.48,
12.8,12.8,16.6,1656,212.48,
10.8,6,10.1,1522,109.08,
6.1,4.5,7.1,1044,43.31,
3.8,2.9,14.1,2200,53.58,
7,4.2,6.9,1356,48.3,
21.5,13,16.6,1467,356.9,
17.5,11.5,13.4,778,234.5,
22.7,13.8,16.6,1467,376.82,
18,13,16.6,1467,298.8,
17.3,14.5,16.1,1656,278.53,
15.9,11.3,14.4,1689,228.96,
25.4,16,16.1,689,408.94,
16.4,15.8,15.8,1522,259.12,
22,16.1,16.5,1356,363,
4.2,3.7,16.5,1356,69.3,
8,4.1,14.8,1022,118.4,
14,11.3,14.8,1967,207.2,
19.8,13.3,19.6,789,388.08,
6.9,7.9,14.1,2200,97.29,
8.3,5.2,7.1,1044,58.93,
22.3,14.2,16.6,1467,370.18,
11.4,15.8,16.1,1656,183.54,
6.9,5,16.1,689,111.09,
5.1,2.1,7.8,989,39.78,
16.3,12.9,15.1,1656,246.13,
11.8,7.6,13.9,767,164.02,
10.1,6.3,7.1,1044,71.71,
19,11,15.1,1067,286.9,
21,13.6,16.1,1656,338.1,
8.7,12.6,15.8,1522,137.46,
5.5,6.7,17.7,2278,97.35,
15.5,13.1,18.8,1233,291.4,
20.3,13.7,16.5,1356,334.95,
9.1,16.6,16.1,1656,146.51,
21.9,15.8,17.7,889,387.63,
22.6,17.1,21.2,967,479.12,
6.7,5,15,1956,100.5,
7.2,5.8,6.4,911,46.08,
12.9,12.1,16.2,1678,208.98,
21.2,17.2,17.2,1778,364.64,
18.7,15.4,15.1,1411,282.37,
4.2,4.6,6,600,25.2,
11,10.2,15.1,1656,166.1,
20.5,17,16.6,1467,340.3,
